2018-01-15 17:06:42 INFO  [main] us.codecraft.webmagic.Spider  - Spider search.51job.com started!
2018-01-15 17:07:08 INFO  [pool-1-thread-4] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://search.51job.com/list/000000,000000,0100,00,9,99,%2B,2,4.html?lang=c&stype=1&postchannel=0000&workyear=99&cotype=99&degreefrom=99&jobterm=99&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=&dibiaoid=0&address=&line=&specialarea=00&from=&welfare=
2018-01-15 17:07:08 INFO  [pool-1-thread-5] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/shanghai/95367208.html?s=01&t=0
2018-01-15 17:07:08 INFO  [pool-1-thread-7] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/shanghai/49451334.html?s=01&t=0
2018-01-15 17:07:08 INFO  [pool-1-thread-2] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/shanghai/97830776.html?s=01&t=0
2018-01-15 17:07:08 INFO  [pool-1-thread-9] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/hefei/94312578.html?s=01&t=0
2018-01-15 17:07:08 INFO  [pool-1-thread-10] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/dongguan/87636634.html?s=01&t=0
2018-01-15 17:07:08 INFO  [pool-1-thread-1] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/shanghai/97830233.html?s=01&t=0
2018-01-15 17:07:08 INFO  [pool-1-thread-3] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/jinan/93831254.html?s=01&t=0
2018-01-15 17:07:11 INFO  [pool-1-thread-8] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/taiyuan/56336680.html?s=01&t=0
2018-01-15 17:07:11 INFO  [pool-1-thread-6] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/chengdu/97830090.html?s=01&t=0
2018-01-15 17:07:11 INFO  [pool-1-thread-4] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/hefei/84936186.html?s=01&t=0
2018-01-15 17:07:11 INFO  [pool-1-thread-5] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/guangzhou/96725746.html?s=01&t=0
2018-01-15 17:07:11 INFO  [pool-1-thread-7] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/guangzhou/95367917.html?s=01&t=0
2018-01-15 17:07:11 INFO  [pool-1-thread-9] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/baoding/97777668.html?s=01&t=0
2018-01-15 17:07:11 INFO  [pool-1-thread-1] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/hangzhou/81579922.html?s=01&t=0
2018-01-15 17:07:11 INFO  [pool-1-thread-10] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/hangzhou/93357971.html?s=01&t=0
